id,item_code,item_name,management_type,category_id,condition_code,stock_type,customer_id,manufacturer,model_number,serial_number,network_info,location_id,notes,is_active,sort_order,created_at,updated_at,created_by,updated_by,source_excel_rows
1,ITEM-000001,デスクトップ本体,unit,,used,internal,,,,,,1,,1,1,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,4;5
2,ITEM-000002,ファン,quantity,,used,internal,,,,,,1,,1,2,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,6
3,ITEM-000003,有線マウス,quantity,,used,internal,,,,,,2,ラック上から2段目一番右のかご,1,3,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,7
4,ITEM-000004,有線マウス,quantity,,new,internal,,,,,,2,,1,4,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,8
5,ITEM-000005,無線マウス,quantity,,used,internal,,,,,,2,,1,5,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,9
6,ITEM-000006,無線マウス,quantity,,new,internal,,,,,,2,,1,6,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,10
7,ITEM-000007,BUFFALO PortableHD,quantity,,used,internal,,,,,,2,,1,7,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,11
8,ITEM-000008,CD-R,quantity,,new,internal,,,,,,2,,1,8,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,12
9,ITEM-000009,CD-R,quantity,,used,internal,,,,,,2,,1,9,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,13
10,ITEM-000010,NFC/Felicaリーダー,quantity,,used,internal,,,,,,2,,1,10,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,14
11,ITEM-000011,NFC/Felicaリーダー,quantity,,new,internal,,,,,,2,,1,11,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,15
12,ITEM-000012,外付けテンキー,quantity,,new,internal,,,,,,2,,1,12,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,16
13,ITEM-000013,外付けDVDリーダー,quantity,,used,internal,,,,,,2,,1,13,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,17
14,ITEM-000014,HDD,quantity,,used,internal,,,,,,2,,1,14,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,18
15,ITEM-000015,A to Bケーブル,quantity,,used,internal,,,,,,2,,1,15,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,19
16,ITEM-000016,LAN→変換,quantity,,used,internal,,,,,,2,,1,16,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,20
17,ITEM-000017,骨伝導イヤホン,quantity,,used,internal,,,,,,2,,1,17,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,21
18,ITEM-000018,A to Cケーブル,quantity,,used,internal,,,,,,2,,1,18,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,22
19,ITEM-000019,microSD→SD変換,quantity,,used,internal,,,,,,2,,1,19,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,23
20,ITEM-000020,切り替え器,quantity,,used,internal,,,,,,2,4台接続可能,1,20,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,24
21,ITEM-000021,Anker PowerExpand+7-in1 USB-C PD イーサネット ハブ,quantity,,used,internal,,,,,,2,,1,21,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,25
22,ITEM-000022,クローンＨＤＤスタンド,quantity,,used,internal,,,,,,3,,1,22,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,26
23,ITEM-000023,BUFFALO　ポータブルハードディスク,quantity,,used,internal,,,,,,3,,1,23,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,27
24,ITEM-000024,I-O DATA SSD,quantity,,used,internal,,,,,,3,,1,24,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,28
25,ITEM-000025,デジタルテスター,quantity,,used,internal,,,,,,3,,1,25,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,29
26,ITEM-000026,ＬＡＮケーブルテスター,quantity,,used,internal,,,,,,3,,1,26,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,30
27,ITEM-000027,TP-link 無線ＬＡＮルーター,quantity,,used,internal,,,,,,3,,1,27,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,31
28,ITEM-000028,テスター棒用ワニ口クリップ,quantity,,used,internal,,,,,,3,,1,28,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,32
29,ITEM-000029,スピーカーみたいなマイク,quantity,,used,internal,,,,,,3,,1,29,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,33
30,ITEM-000030,恵会眠りSCAN用無線ＡＰ予備,unit,,used,internal,,,,,,4,,1,30,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,34;35
