sheet,excel_row,品名,状態,管理No,保管場所(セル値),保管場所(結合補完),結合元,棚卸数(F),棚卸数2026/1/6(G),G結合補完,備考,I列(ヘッダなし)
シート1,4,デスクトップ本体,中古,NKC：0006,トイレ横ラック,トイレ横ラック,,1,,,,
シート1,5,デスクトップ本体,中古,NKC：0002,トイレ横ラック,トイレ横ラック,,1,,,,
シート1,6,ファン,中古,,トイレ横ラック,トイレ横ラック,,1,,,,
シート1,7,有線マウス,中古,,ラック上から2段目一番右箱,ラック上から2段目一番右箱,E7:E25,3,6,6,ラック上から2段目一番右のかご,
シート1,8,有線マウス,新品,,,ラック上から2段目一番右箱,E7:E25,2,4,4,,
シート1,9,無線マウス,中古,,,ラック上から2段目一番右箱,E7:E25,5,4,4,,
シート1,10,無線マウス,新品,,,ラック上から2段目一番右箱,E7:E25,1,3,3,,
シート1,11,BUFFALO PortableHD,中古,,,ラック上から2段目一番右箱,E7:E25,1,,,,
シート1,12,CD-R,新品,,,ラック上から2段目一番右箱,E7:E25,2,1,1,,
シート1,13,CD-R,中古,,,ラック上から2段目一番右箱,E7:E25,1,1,1,,
シート1,14,NFC/Felicaリーダー,中古,,,ラック上から2段目一番右箱,E7:E25,2,,,,
シート1,15,NFC/Felicaリーダー,新品,,,ラック上から2段目一番右箱,E7:E25,,1,1,,
シート1,16,外付けテンキー,新品,,,ラック上から2段目一番右箱,E7:E25,1,1,1,,
シート1,17,外付けDVDリーダー,中古,,,ラック上から2段目一番右箱,E7:E25,1,1,1,,
シート1,18,HDD,中古,,,ラック上から2段目一番右箱,E7:E25,1,1,1,,
シート1,19,A to Bケーブル,中古,,,ラック上から2段目一番右箱,E7:E25,1,,,,
シート1,20,LAN→変換,中古,,,ラック上から2段目一番右箱,E7:E25,1,,,,
シート1,21,骨伝導イヤホン,中古,,,ラック上から2段目一番右箱,E7:E25,1,,,,
シート1,22,A to Cケーブル,中古,,,ラック上から2段目一番右箱,E7:E25,1,,,,
シート1,23,microSD→SD変換,中古,,,ラック上から2段目一番右箱,E7:E25,1,,,,
